case_id,fraud_type,scenario,modus_operandi,warning_signs,prevention_tips,legal_consequence,keywords,date,region,loss_amount,victim_age,detailed_description
11.0,兼职刷单,大学生在微信公众号看到兼职信息,声称做微信小程序刷单，需要先关注公众号,要求关注公众号的兼职要谨慎,①不随便关注陌生公众号 ②不向陌生人转账 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,公众号,微信,小程序",2026-02-20,北京,43871.0,20.0,大学生在微信公众号看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做微信小程序刷单，需要先关注公众号。警示信号：要求关注公众号的兼职要谨慎。防范建议：①不随便关注陌生公众号 ②不向陌生人转账 ③通过正规平台找兼职。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单。
12.0,兼职刷单,大学生在百度贴吧看到兼职信息,声称做百度推广刷单，需要先交推广费,要求交推广费的兼职都是诈骗,①不交推广费 ②不相信高回报承诺 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,推广费,百度,贴吧",2025-11-14,北京,49491.0,25.0,大学生在百度贴吧看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做百度推广刷单，需要先交推广费。警示信号：要求交推广费的兼职都是诈骗。防范建议：①不交推广费 ②不相信高回报承诺 ③通过正规平台找兼职。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单。
13.0,兼职刷单,大学生在豆瓣看到兼职信息,声称做美团刷单，需要先绑定银行卡,要求绑定银行卡的兼职都是诈骗,①不绑定银行卡 ②保护个人信息 ③核实招聘方资质,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,银行卡,美团,豆瓣",2025-06-01,武汉,44557.0,20.0,大学生在豆瓣看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做美团刷单，需要先绑定银行卡。警示信号：要求绑定银行卡的兼职都是诈骗。防范建议：①不绑定银行卡 ②保护个人信息 ③核实招聘方资质。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单。
14.0,兼职刷单,大学生在知乎看到兼职信息,声称做知乎问答刷单，需要先交押金,要求交押金的兼职都是诈骗,①不交押金 ②不相信高回报承诺 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,押金,知乎,问答",2025-12-22,杭州,43360.0,22.0,大学生在知乎看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做知乎问答刷单，需要先交押金。警示信号：要求交押金的兼职都是诈骗。防范建议：①不交押金 ②不相信高回报承诺 ③通过正规平台找兼职。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单。
15.0,兼职刷单,大学生在微博看到兼职信息,声称做微博热搜刷单，需要先充钱,要求充钱的兼职都是诈骗,①不充钱 ②不相信高回报承诺 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,充钱,微博,热搜",2025-10-13,成都,43955.0,21.0,大学生在微博看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做微博热搜刷单，需要先充钱。警示信号：要求充钱的兼职都是诈骗。防范建议：①不充钱 ②不相信高回报承诺 ③通过正规平台找兼职。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单。
16.0,兼职刷单,大学生在B站看到兼职信息,声称做B站视频弹幕刷单，需要先注册账号,要求注册账号的兼职要谨慎,①不随便注册账号 ②不填写个人信息 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,注册账号,B站,弹幕",2025-05-01,南京,37221.0,20.0,大学生在B站看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做B站视频弹幕刷单，需要先注册账号。警示信号：要求注册账号的兼职要谨慎。防范建议：①不随便注册账号 ②不填写个人信息 ③通过正规平台找兼职。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单。
17.0,兼职刷单,大学生在抖音看到兼职信息,声称做抖音点赞刷单，需要先加群,要求加群的兼职要谨慎,①不随便加群 ②不向陌生人转账 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,加群,抖音,点赞",2025-12-10,武汉,33318.0,22.0,大学生在抖音看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做抖音点赞刷单，需要先加群。警示信号：要求加群的兼职要谨慎。防范建议：①不随便加群 ②不向陌生人转账 ③通过正规平台找兼职。 用户常见描述：做好评赚钱要先交会员费；帮商家冲量每单返佣先垫款；接副业任务需要激活账号；帮商家做评价先下载App；短视频点赞员日薪百元先交押金；在家做数据录入先交资料费；赚零花钱要充值激活才能接单。 识别关键词：好评赚钱、冲量返佣、副业任务、激活账号、点赞员、数据录入先交费、充值激活接单。
18.0,兼职刷单,大学生在快手看到兼职信息,声称做快手直播点赞刷单，需要先关注主播,要求关注主播的兼职要谨慎,①不随便关注陌生主播 ②不向陌生人转账 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,关注主播,快手,直播",2025-07-24,南京,25492.0,20.0,大学生在快手看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做快手直播点赞刷单，需要先关注主播。警示信号：要求关注主播的兼职要谨慎。防范建议：①不随便关注陌生主播 ②不向陌生人转账 ③通过正规平台找兼职。 常见口语场景：室友说有个副业先交99块会员费；有个App帮商家做好评注册完要充值激活；做了几单任务账户被风控要交解封费；帮平台刷新用户注册先充押金；代刷粉丝服务先充值；系统说收益被冻结要交保证金才能提现。 识别关键词：会员费、充值激活、账户风控、解封费、刷新用户、收益冻结、保证金提现。
19.0,兼职刷单,大学生在微信公众号看到兼职信息,声称做微信视频号刷单，需要先转发视频,要求转发视频的兼职要谨慎,①不随便转发视频 ②不向陌生人转账 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,转发视频,微信,视频号",2026-02-06,上海,48187.0,25.0,大学生在微信公众号看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做微信视频号刷单，需要先转发视频。警示信号：要求转发视频的兼职要谨慎。防范建议：①不随便转发视频 ②不向陌生人转账 ③通过正规平台找兼职。 常见口语场景：室友说有个副业先交99块会员费；有个App帮商家做好评注册完要充值激活；做了几单任务账户被风控要交解封费；帮平台刷新用户注册先充押金；代刷粉丝服务先充值；系统说收益被冻结要交保证金才能提现。 识别关键词：会员费、充值激活、账户风控、解封费、刷新用户、收益冻结、保证金提现。
20.0,兼职刷单,大学生在百度贴吧看到兼职信息,声称做百度贴吧回帖刷单，需要先登录账号,要求登录账号的兼职要谨慎,①不随便登录账号 ②不填写个人信息 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,登录账号,百度,贴吧",2026-01-18,西安,12264.0,23.0,大学生在百度贴吧看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做百度贴吧回帖刷单，需要先登录账号。警示信号：要求登录账号的兼职要谨慎。防范建议：①不随便登录账号 ②不填写个人信息 ③通过正规平台找兼职。 常见口语场景：室友说有个副业先交99块会员费；有个App帮商家做好评注册完要充值激活；做了几单任务账户被风控要交解封费；帮平台刷新用户注册先充押金；代刷粉丝服务先充值；系统说收益被冻结要交保证金才能提现。 识别关键词：会员费、充值激活、账户风控、解封费、刷新用户、收益冻结、保证金提现。
21.0,兼职刷单,大学生在豆瓣看到兼职信息,声称做豆瓣小组刷单，需要先加入小组,要求加入小组的兼职要谨慎,①不随便加入小组 ②不向陌生人转账 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,加入小组,豆瓣,小组",2025-06-18,广州,1994.0,22.0,大学生在豆瓣看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做豆瓣小组刷单，需要先加入小组。警示信号：要求加入小组的兼职要谨慎。防范建议：①不随便加入小组 ②不向陌生人转账 ③通过正规平台找兼职。 常见口语场景：室友说有个副业先交99块会员费；有个App帮商家做好评注册完要充值激活；做了几单任务账户被风控要交解封费；帮平台刷新用户注册先充押金；代刷粉丝服务先充值；系统说收益被冻结要交保证金才能提现。 识别关键词：会员费、充值激活、账户风控、解封费、刷新用户、收益冻结、保证金提现。
22.0,兼职刷单,大学生在知乎看到兼职信息,声称做知乎专栏刷单，需要先关注专栏,要求关注专栏的兼职要谨慎,①不随便关注陌生专栏 ②不向陌生人转账 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,关注专栏,知乎,专栏",2025-08-01,成都,16237.0,23.0,大学生在知乎看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做知乎专栏刷单，需要先关注专栏。警示信号：要求关注专栏的兼职要谨慎。防范建议：①不随便关注陌生专栏 ②不向陌生人转账 ③通过正规平台找兼职。 常见口语场景：室友说有个副业先交99块会员费；有个App帮商家做好评注册完要充值激活；做了几单任务账户被风控要交解封费；帮平台刷新用户注册先充押金；代刷粉丝服务先充值；系统说收益被冻结要交保证金才能提现。 识别关键词：会员费、充值激活、账户风控、解封费、刷新用户、收益冻结、保证金提现。
23.0,兼职刷单,大学生在微博看到兼职信息,声称做微博超话刷单，需要先加入超话,要求加入超话的兼职要谨慎,①不随便加入超话 ②不向陌生人转账 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,加入超话,微博,超话",2025-10-24,深圳,47656.0,22.0,大学生在微博看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做微博超话刷单，需要先加入超话。警示信号：要求加入超话的兼职要谨慎。防范建议：①不随便加入超话 ②不向陌生人转账 ③通过正规平台找兼职。 常见口语场景：室友说有个副业先交99块会员费；有个App帮商家做好评注册完要充值激活；做了几单任务账户被风控要交解封费；帮平台刷新用户注册先充押金；代刷粉丝服务先充值；系统说收益被冻结要交保证金才能提现。 识别关键词：会员费、充值激活、账户风控、解封费、刷新用户、收益冻结、保证金提现。
24.0,兼职刷单,大学生在B站看到兼职信息,声称做B站番剧刷单，需要先购买会员,要求购买会员的兼职都是诈骗,①不购买会员 ②不相信高回报承诺 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,购买会员,B站,番剧",2025-12-01,武汉,35171.0,19.0,大学生在B站看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做B站番剧刷单，需要先购买会员。警示信号：要求购买会员的兼职都是诈骗。防范建议：①不购买会员 ②不相信高回报承诺 ③通过正规平台找兼职。 常见口语场景：室友说有个副业先交99块会员费；有个App帮商家做好评注册完要充值激活；做了几单任务账户被风控要交解封费；帮平台刷新用户注册先充押金；代刷粉丝服务先充值；系统说收益被冻结要交保证金才能提现。 识别关键词：会员费、充值激活、账户风控、解封费、刷新用户、收益冻结、保证金提现。
25.0,兼职刷单,大学生在抖音看到兼职信息,声称做抖音短剧刷单，需要先充值,要求充值的兼职都是诈骗,①不充值 ②不相信高回报承诺 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,充值,抖音,短剧",2025-08-05,杭州,30947.0,20.0,大学生在抖音看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做抖音短剧刷单，需要先充值。警示信号：要求充值的兼职都是诈骗。防范建议：①不充值 ②不相信高回报承诺 ③通过正规平台找兼职。 常见口语场景：室友说有个副业先交99块会员费；有个App帮商家做好评注册完要充值激活；做了几单任务账户被风控要交解封费；帮平台刷新用户注册先充押金；代刷粉丝服务先充值；系统说收益被冻结要交保证金才能提现。 识别关键词：会员费、充值激活、账户风控、解封费、刷新用户、收益冻结、保证金提现。
26.0,兼职刷单,大学生在快手看到兼职信息,声称做快手电商刷单，需要先下单,要求下单的兼职都是诈骗,①不下单 ②不向陌生人转账 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,下单,快手,电商",2026-02-01,北京,46466.0,21.0,大学生在快手看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做快手电商刷单，需要先下单。警示信号：要求下单的兼职都是诈骗。防范建议：①不下单 ②不向陌生人转账 ③通过正规平台找兼职。 常见口语场景：室友说有个副业先交99块会员费；有个App帮商家做好评注册完要充值激活；做了几单任务账户被风控要交解封费；帮平台刷新用户注册先充押金；代刷粉丝服务先充值；系统说收益被冻结要交保证金才能提现。 识别关键词：会员费、充值激活、账户风控、解封费、刷新用户、收益冻结、保证金提现。
27.0,兼职刷单,大学生在微信公众号看到兼职信息,声称做微信商城刷单，需要先付款,要求付款的兼职都是诈骗,①不付款 ②不向陌生人转账 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,付款,微信,商城",2025-06-29,杭州,1282.0,21.0,大学生在微信公众号看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做微信商城刷单，需要先付款。警示信号：要求付款的兼职都是诈骗。防范建议：①不付款 ②不向陌生人转账 ③通过正规平台找兼职。 常见口语场景：室友说有个副业先交99块会员费；有个App帮商家做好评注册完要充值激活；做了几单任务账户被风控要交解封费；帮平台刷新用户注册先充押金；代刷粉丝服务先充值；系统说收益被冻结要交保证金才能提现。 识别关键词：会员费、充值激活、账户风控、解封费、刷新用户、收益冻结、保证金提现。
28.0,兼职刷单,大学生在百度贴吧看到兼职信息,声称做百度外卖刷单，需要先点餐,要求点餐的兼职都是诈骗,①不点餐 ②不向陌生人转账 ③通过正规平台找兼职,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"刷单,兼职,点餐,百度,外卖",2025-10-12,武汉,21473.0,22.0,大学生在百度贴吧看到兼职信息，遇到兼职刷单诈骗。骗子通过声称做百度外卖刷单，需要先点餐。警示信号：要求点餐的兼职都是诈骗。防范建议：①不点餐 ②不向陌生人转账 ③通过正规平台找兼职。 常见口语场景：室友说有个副业先交99块会员费；有个App帮商家做好评注册完要充值激活；做了几单任务账户被风控要交解封费；帮平台刷新用户注册先充押金；代刷粉丝服务先充值；系统说收益被冻结要交保证金才能提现。 识别关键词：会员费、充值激活、账户风控、解封费、刷新用户、收益冻结、保证金提现。
29.0,冒充辅导员,大学生收到自称辅导员的电话,声称需要紧急交学费，要求转账,辅导员不会通过电话要求转账,①核实辅导员身份 ②通过学校官方渠道确认 ③不向陌生账户转账,诈骗罪，处3年以下有期徒刑、拘役或管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处3年以上10年以下有期徒刑，并处罚金,"辅导员,转账,学费,电话,冒充",2025-08-07,上海,38545.0,19.0,大学生收到自称辅导员的电话，遇到冒充辅导员诈骗。骗子通过声称需要紧急交学费，要求转账。警示信号：辅导员不会通过电话要求转账。防范建议：①核实辅导员身份 ②通过学校官方渠道确认 ③不向陌生账户转账。
